amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
228.96478,0.0,15026456.0,106.45081,"(2.465889, 0.)",0.05356413,125.0,0,1.0,28.829254,2,82.3343,"(2.465889, 0.)",0,19385.447,2.7783875,2.7783875
1498.9971,0.0,15648351.0,107.77955,"(0.5487213, 0.)",0.14680237,147.0,0,2.0,19.85859,2,102.24046,"(0.5487213, 0.)",0,9349.642,0.61902195,0.61902195
253.2873,0.0,13033962.0,104.249985,"(2.6893072, 0.)",0.06661326,159.0,0,3.0,14.570121,2,77.42039,"(2.6893072, 0.)",0,14333.426,2.5239503,2.5239503
182.1833,0.0,14584262.0,105.52636,"(7.248804, 0.)",0.040891767,161.0,0,4.0,-13.149031,2,81.25809,"(7.248804, 0.)",0,8412.35,3.300748,3.300748
258.2626,0.0,19946840.0,110.44265,"(14.93739, 0.)",0.036462486,230.0,0,5.0,-14.169546,2,102.16565,"(14.93739, 0.)",0,2127.482,1.9257042,1.9257042
304.06268,0.0,13068968.0,95.116104,"(2.008256, 0.)",0.096330464,282.0,1,6.0,24.974379,2,83.49565,"(2.008256, 0.)",0,20146.338,2.6043887,2.6043887
806.61646,0.0,19051460.0,40.94866,"(0.50082165, 0.)",0.18492848,299.0,1,7.0,111.31219,1,23.002026,"(0.50082165, 0.)",0,44100.22,1.5341327,1.5341327
574.90906,0.0,18932160.0,39.747166,"(1.1604639, 0.)",0.21195251,300.0,1,8.0,61.58609,1,23.817379,"(1.1604639, 0.)",0,43207.594,2.6556146,2.6556146
499.1316,0.0,17378552.0,40.38509,"(1.1412817, 0.)",0.1735729,301.0,1,9.0,66.44417,1,22.760063,"(1.1412817, 0.)",0,39398.164,2.5410388,2.5410388
295.26758,0.0,16408040.0,39.252792,"(1.5399114, 0.)",0.07906526,302.0,1,10.0,62.98978,1,22.24226,"(1.5399114, 0.)",0,31430.586,2.7205312,2.7205312
663.3511,0.0,22481788.0,40.348457,"(1.0867298, 0.)",0.23108017,303.0,1,11.0,72.395454,1,21.648983,"(1.0867298, 0.)",0,50048.145,2.6474864,2.6474864
368.02954,0.0,17828120.0,40.956543,"(1.2681543, 0.)",0.10137868,304.0,1,12.0,73.59579,1,22.68188,"(1.2681543, 0.)",0,36508.08,2.5690787,2.5690787
420.46545,0.0,15431268.0,40.19887,"(1.8356974, 0.)",0.16546851,305.0,1,13.0,20.93239,1,22.071056,"(1.8356974, 0.)",0,29295.865,2.9788342,2.9788342
364.39056,0.0,18263926.0,41.487717,"(2.0773315, 0.)",0.11963928,306.0,1,14.0,29.132917,1,21.900312,"(2.0773315, 0.)",0,32950.87,3.307457,3.307457
563.79254,0.0,15822942.0,40.210262,"(1.3979423, 0.)",0.25370955,307.0,1,15.0,27.188997,1,21.720997,"(1.3979423, 0.)",0,37476.336,2.9029531,2.9029531
670.58575,0.0,16269046.0,40.228287,"(1.2450244, 0.)",0.28206974,308.0,1,16.0,27.0151,1,24.37402,"(1.2450244, 0.)",0,33821.742,2.486373,2.486373
2128.2144,0.0,15973091.0,40.421032,"(0.16488184, 0.)",0.31014794,309.0,1,17.0,112.34444,1,24.129921,"(0.16488184, 0.)",0,39387.207,0.71933216,0.71933216
446.92557,0.0,17128420.0,40.666668,"(1.9606745, 0.)",0.18105274,310.0,1,18.0,12.40753,1,22.447235,"(1.9606745, 0.)",0,35333.13,3.406135,3.406135
396.55,0.0,15006356.0,41.121532,"(1.188825, 0.)",0.12343615,311.0,1,19.0,61.485554,1,22.38797,"(1.188825, 0.)",0,31848.248,2.3794713,2.3794713
695.9496,0.0,24103380.0,40.352894,"(1.3210337, 0.)",0.23569548,312.0,1,20.0,41.71936,1,23.425411,"(1.3210337, 0.)",0,42574.43,2.6451912,2.6451912
752.522,0.0,12862608.0,41.152264,"(0.67558354, 0.)",0.27082658,313.0,1,21.0,63.609043,1,23.138977,"(0.67558354, 0.)",0,33059.89,1.7618479,1.7618479
697.6633,0.0,14486720.0,40.84212,"(0.9510025, 0.)",0.32561713,314.0,1,22.0,51.1964,1,23.370718,"(0.9510025, 0.)",0,42325.96,2.5078404,2.5078404
379.79907,0.0,12085314.0,103.22842,"(1.4456626, 0.)",0.08520079,314.0,1,23.0,24.97674,2,84.58861,"(1.4456626, 0.)",0,13973.911,1.6824592,1.6824592
398.83704,0.0,16916170.0,40.343327,"(2.0966938, 0.)",0.14648616,315.0,1,24.0,16.10566,1,21.729729,"(2.0966938, 0.)",0,29740.527,3.1885905,3.1885905
912.3601,0.0,19983562.0,40.889473,"(0.6942842, 0.)",0.29223454,316.0,1,25.0,85.7831,1,21.89575,"(0.6942842, 0.)",0,46427.86,1.9427477,1.9427477
243.2678,0.0,10644617.0,103.69622,"(3.12305, 0.)",0.08756822,316.0,1,26.0,3.0275748,2,86.28544,"(3.12305, 0.)",0,14203.749,2.9652207,2.9652207
569.2938,0.0,16455559.0,40.643997,"(1.3720417, 0.)",0.24741101,317.0,1,27.0,31.11415,1,22.947334,"(1.3720417, 0.)",0,38169.91,2.864572,2.864572
883.828,0.0,11074686.0,103.43373,"(0.65276015, 0.)",0.15285927,317.0,1,28.0,25.175861,2,84.60167,"(0.65276015, 0.)",0,11973.086,0.9196544,0.9196544
360.94305,0.0,14149921.0,39.922142,"(1.8228651, 0.)",0.15008616,318.0,1,29.0,31.28918,1,23.017288,"(1.8228651, 0.)",0,36233.72,3.5164168,3.5164168
250.91833,0.0,12551591.0,106.966225,"(1.9394255, 0.)",0.074676156,318.0,0,30.0,35.025223,2,85.55919,"(1.9394255, 0.)",0,21592.691,2.7010267,2.7010267
744.01733,0.0,19128866.0,41.163216,"(0.72696996, 0.)",0.22666597,319.0,1,31.0,90.41437,1,23.465466,"(0.72696996, 0.)",0,44240.92,1.9683146,1.9683146
557.7525,0.0,12078109.0,110.54542,"(1.3070606, 0.)",0.20026225,319.0,1,32.0,20.47246,2,85.42067,"(1.3070606, 0.)",0,18827.516,1.9193945,1.9193945
625.625,0.0,16733461.0,40.589916,"(0.8551971, 0.)",0.19933033,320.0,1,33.0,71.49653,1,22.168056,"(0.8551971, 0.)",0,36874.527,2.0312605,2.0312605
350.31268,0.0,13263746.0,109.75997,"(3.1332614, 0.)",0.12020266,320.0,1,34.0,-5.826232,2,85.009094,"(3.1332614, 0.)",0,12658.691,2.5574994,2.5574994
598.1296,0.0,19079216.0,39.624214,"(0.79732496, 0.)",0.16440761,321.0,1,35.0,91.425224,1,22.452034,"(0.79732496, 0.)",0,41642.55,2.012306,2.012306
788.0073,0.0,17029874.0,40.013523,"(0.991384, 0.)",0.30955094,322.0,1,36.0,42.61125,1,23.306553,"(0.991384, 0.)",0,37058.227,2.235881,2.235881
567.06213,0.0,16806680.0,40.592762,"(0.9880016, 0.)",0.21280503,323.0,1,37.0,73.415054,1,21.422348,"(0.9880016, 0.)",0,42997.453,2.474039,2.474039
235.40013,0.0,10444368.0,114.8644,"(7.7928734, 0.)",0.08282268,323.0,1,38.0,-64.26872,2,90.084854,"(7.7928734, 0.)",0,12532.764,5.050322,5.050322
505.5706,0.0,15367778.0,40.931065,"(1.2228725, 0.)",0.19681162,324.0,1,39.0,48.995094,1,23.62868,"(1.2228725, 0.)",0,34878.133,2.5557747,2.5557747
304.78378,0.0,12815646.0,112.823524,"(2.3887742, 0.)",0.08441603,324.0,1,40.0,13.001314,2,93.10432,"(2.3887742, 0.)",0,13631.299,2.2681582,2.2681582
342.69153,0.0,13607704.0,135.89534,"(1.1488777, 0.)",0.075602174,324.0,1,41.0,50.233677,2,107.5777,"(1.1488777, 0.)",0,22203.332,1.8893106,1.8893106
545.67535,0.0,20236458.0,39.62824,"(1.6876146, 0.)",0.21819001,325.0,1,42.0,20.131796,1,23.039165,"(1.6876146, 0.)",0,44843.406,3.417523,3.417523
279.2322,0.0,13217518.0,110.46783,"(3.3945897, 0.)",0.09001154,325.0,1,43.0,-1.667747,2,93.25551,"(3.3945897, 0.)",0,13875.986,2.8714304,2.8714304
695.67554,0.0,17624008.0,40.971474,"(0.8068605, 0.)",0.26349723,326.0,1,44.0,88.40802,1,23.459782,"(0.8068605, 0.)",0,49250.617,2.3291745,2.3291745
486.83408,0.0,9992808.0,108.80237,"(1.9392667, 0.)",0.17607683,326.0,1,45.0,1.7134598,2,95.16103,"(1.9392667, 0.)",0,10766.1045,1.8323606,1.8323606
527.31323,0.0,14688126.0,41.261803,"(0.9995045, 0.)",0.19684207,327.0,1,46.0,63.081776,1,23.00248,"(0.9995045, 0.)",0,36020.297,2.3173892,2.3173892
776.9705,0.0,21015500.0,41.113514,"(1.3690653, 0.)",0.32458997,328.0,1,47.0,11.781404,1,22.37886,"(1.3690653, 0.)",0,43338.93,2.869427,2.869427
667.3394,0.0,22000910.0,40.536514,"(0.91828454, 0.)",0.22750914,329.0,1,48.0,96.77881,1,22.559967,"(0.91828454, 0.)",0,54801.902,2.532035,2.532035
342.2483,0.0,13155252.0,40.92199,"(2.0233097, 0.)",0.14766401,330.0,1,49.0,20.024157,1,22.566587,"(2.0233097, 0.)",0,33759.13,3.6844845,3.6844845
778.9137,0.0,21938894.0,40.58655,"(1.1053483, 0.)",0.29081613,331.0,1,50.0,49.237156,1,23.251356,"(1.1053483, 0.)",0,46530.234,2.5715165,2.5715165
490.05417,0.0,17620332.0,40.70746,"(1.5705525, 0.)",0.18505657,332.0,1,51.0,32.458363,1,23.06836,"(1.5705525, 0.)",0,34403.773,2.8589635,2.8589635
208.31937,0.0,13142652.0,40.324436,"(2.7661495, 0.)",0.060486436,333.0,0,52.0,28.683868,1,23.09778,"(2.7661495, 0.)",0,27651.748,3.9744952,3.9744952
692.3048,0.0,16675250.0,42.14711,"(1.0681798, 0.)",0.30426753,334.0,1,53.0,46.364765,1,24.38062,"(1.0681798, 0.)",0,43370.35,2.6280603,2.6280603
733.376,0.0,17959016.0,41.091812,"(1.2490137, 0.)",0.33021128,335.0,1,54.0,21.84059,1,22.840576,"(1.2490137, 0.)",0,42887.8,2.824516,2.824516
466.45322,0.0,20057294.0,40.556175,"(1.8768787, 0.)",0.16567302,336.0,1,55.0,23.751232,1,22.568136,"(1.8768787, 0.)",0,36337.08,3.197987,3.197987
825.20514,0.0,21361684.0,40.773735,"(0.7839728, 0.)",0.25656587,337.0,1,56.0,84.22216,1,22.652477,"(0.7839728, 0.)",0,46213.188,2.0539942,2.0539942
553.9065,0.0,16043302.0,39.90348,"(1.3058007, 0.)",0.24982005,338.0,1,57.0,39.475147,1,22.419811,"(1.3058007, 0.)",0,42424.73,2.9991827,2.9991827
204.91528,0.0,11565834.0,106.3991,"(3.2485085, 0.)",0.05730778,340.0,0,58.0,10.53513,2,95.35097,"(3.2485085, 0.)",0,13185.665,2.81781,2.81781
626.6703,0.0,17383652.0,40.71905,"(1.3197322, 0.)",0.27390492,341.0,1,59.0,29.981573,1,22.024506,"(1.3197322, 0.)",0,40812.5,2.8657863,2.8657863
336.6014,0.0,17402492.0,40.92843,"(2.604871, 0.)",0.111389995,342.0,1,60.0,8.726486,1,21.187412,"(2.604871, 0.)",0,36971.47,4.2202954,4.2202954
226.39662,0.0,10086188.0,103.33208,"(11.599802, 0.)",0.06671238,354.0,0,61.0,-87.57777,2,89.40182,"(11.599802, 0.)",0,10469.637,5.908318,5.908318
213.06638,0.0,13051400.0,108.33316,"(5.6321583, 0.)",0.063737035,356.0,0,62.0,-24.55432,2,83.1796,"(5.6321583, 0.)",0,15406.84,4.333339,4.333339
368.4439,0.0,9652350.0,103.95672,"(1.971298, 0.)",0.0944159,357.0,1,63.0,8.94185,2,90.13751,"(1.971298, 0.)",0,8762.376,1.6336101,1.6336101
203.5303,0.0,9472834.0,103.697014,"(4.2291145, 0.)",0.06861991,359.0,0,64.0,-3.756032,2,86.4299,"(4.2291145, 0.)",0,9507.776,2.8873992,2.8873992
306.23315,0.0,12746458.0,106.42818,"(2.3245096, 0.)",0.073538065,362.0,0,65.0,13.551807,2,90.14938,"(2.3245096, 0.)",0,11987.004,2.0480645,2.0480645
1618.2456,0.0,18014838.0,86.70253,"(0.15470901, 0.)",0.11082494,365.0,0,66.0,71.133965,2,73.20677,"(0.15470901, 0.)",0,22870.336,0.4609906,0.4609906
342.56296,0.0,8761733.0,110.01657,"(2.3770628, 0.)",0.16061139,365.0,1,67.0,-1.0981355,2,85.806366,"(2.3770628, 0.)",0,13074.572,2.4958858,2.4958858
2458.1519,0.0,11916798.0,106.450935,"(0.10363516, 0.)",0.12858135,366.0,0,68.0,57.6209,2,84.98066,"(0.10363516, 0.)",0,18541.25,0.3521128,0.3521128
