amp,ang,chi_squares,col,colCI,err,frame,goodfit,molid,offset,roinum,row,rowCI,states,sum,widthc,widthr
1179.553,0.0,8447963.0,88.01652,"(0.35510632, 0.)",0.15715677,1.0,0,1.0,25.527004,2,96.32073,"(0.35510632, 0.)",0,10004.026,0.59498996,0.59498996
338.31485,0.0,7889836.5,88.93158,"(7.4107494, 0.)",0.119202256,1.0,1,2.0,-16.795021,1,79.811356,"(7.4107494, 0.)",0,2580.2183,1.8697107,1.8697107
2543.9368,0.0,12014705.0,59.620804,"(0.10078714, 0.)",0.1277681,4.0,0,3.0,68.79768,2,70.30072,"(0.10078714, 0.)",0,22040.947,0.38680333,0.38680333
130.80518,0.0,11412068.0,46.68721,"(2.5429256, 0.)",0.027919054,6.0,0,4.0,44.63601,2,54.932373,"(2.5429256, 0.)",0,22166.016,3.3988814,3.3988814
180.7956,0.0,9420634.0,52.242493,"(2.2358248, 0.)",0.05465263,7.0,0,5.0,28.75411,2,56.505512,"(2.2358248, 0.)",0,17291.701,2.817941,2.817941
161.16599,0.0,8417788.0,27.977379,"(2.1878996, 0.)",0.04625845,8.0,0,6.0,25.758846,2,45.236237,"(2.1878996, 0.)",0,13918.189,2.4952576,2.4952576
192.09514,0.0,10502186.0,33.18704,"(2.4123483, 0.)",0.05854237,9.0,0,7.0,27.476799,2,50.925323,"(2.4123483, 0.)",0,19052.75,3.04987,3.04987
264.96594,0.0,9383231.0,35.06219,"(1.2989244, 0.)",0.07864946,11.0,1,8.0,41.030193,2,50.18476,"(1.2989244, 0.)",0,19323.434,2.1155798,2.1155798
169.88625,0.0,10538900.0,44.92335,"(2.8617103, 0.)",0.04744488,17.0,0,9.0,19.511639,2,62.907448,"(2.8617103, 0.)",0,15682.105,2.99824,2.99824
202.2219,0.0,9676072.0,40.297432,"(1.3171879, 0.)",0.043468,18.0,0,10.0,45.21698,2,59.97647,"(1.3171879, 0.)",0,18374.12,2.043802,2.043802
171.05428,0.0,9566244.0,44.448685,"(2.0876474, 0.)",0.043429673,20.0,0,11.0,31.741953,2,62.857094,"(2.0876474, 0.)",0,16264.275,2.5711186,2.5711186
1588.0756,0.0,12013900.0,56.317596,"(0.11050758, 0.)",0.099202275,21.0,0,12.0,76.824425,2,62.24768,"(0.11050758, 0.)",0,24068.07,0.43616194,0.43616194
42.124325,0.0,13639036.0,84.13575,"(268.14056, 0.)",0.00013029575,24.0,0,13.0,40.061325,2,105.284515,"(268.14056, 0.)",0,23208.668,73.71148,73.71148
227.0727,0.0,12734510.0,67.42653,"(1.3418798, 0.)",0.039733052,27.0,0,14.0,48.14741,2,71.25135,"(1.3418798, 0.)",0,19324.275,1.9527919,1.9527919
183.91681,0.0,10601892.0,36.66381,"(1.3925475, 0.)",0.043230236,28.0,0,15.0,59.454906,2,47.91799,"(1.3925475, 0.)",0,24266.773,2.4766016,2.4766016
334.71384,0.0,11718905.0,32.380318,"(8.4710655, 0.)",0.05071616,29.0,0,16.0,-152.37144,2,48.415993,"(8.4710655, 0.)",0,28643.387,8.915151,8.915151
254.8454,0.0,15922415.0,64.47241,"(2.109946, 0.)",0.035945356,31.0,0,17.0,24.722755,2,75.12718,"(2.109946, 0.)",0,12590.549,1.8421305,1.8421305
